"Regionale kerncijfers Nederland"
""
"";"";""
"Onderwerp";"Regio's";"Perioden";"";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2000";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2001";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2002";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2003";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2004";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2005";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2006";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2007";"aantal";"7360"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2008";"aantal";"7130"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2009";"aantal";"10070"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2010";"aantal";"10040"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2011";"aantal";"9730"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2012";"aantal";"12400"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2013";"aantal";"13500"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2014";"aantal";"13700"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2015";"aantal";"13220"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2016";"aantal";"12280"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2017";"aantal";"10260"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2018";"aantal";"8130"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2019";"aantal";"6950"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2020";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"2021";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"1995";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"1996";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"1997";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"1998";"aantal";""
